"Variant","Antibody","Log_Kd","Log_Kd_SE","Max_Conc"
"Wuhan","AP1C3","-2.28013496036471",0.314150683219116,10
"Wuhan","AP1A5","-0.545070434583224",0.222813587825289,10
"Wuhan","AP1B6","-0.965291930868169",0.149706592137705,10
"Wuhan","AP1D4","-1.10985803593985",0.138450314711258,10
"Wuhan","BP1A10","-1.09145043000086",0.0600915330138711,10
"Wuhan","BP1B1","-1.1404609451594",0.0434475809380663,10
"Wuhan","BP2A3","-1.24919321455601",0.0879358470924434,10
"Wuhan","BP2A6","-1.73129571791943",0.0673739127848259,10
"Wuhan","BP2H9","1.10380095968587",0.0816249158538925,10
"Wuhan","DP4F2","0.269499263843915",0.345384674606382,10
"Wuhan","KP1B5","-0.820361578062632",0.23381372035996,10
"Wuhan","KP1C9","-2.54247629855798",0.321203655914728,10
"Wuhan","KP2C6","-0.690309305431623",0.0899164312363556,10
"Wuhan","EP2G4","-2.05321630464072",0.112326397257499,10
"Wuhan","KP1G11","-1.51889106773968",0.0945906233603668,10
"Wuhan","huACE2-Fc","-1.01095104107056",0.0593677980088783,10
"Omicron","AP1C3","0.786070559504973",0.130827592987354,10
"Omicron","AP1A5","0.918238690665224",0.140152633108953,10
"Omicron","AP1B6","1.10638227295256",0.112138924877698,10
"Omicron","AP1D4","1.03672680846116",0.1891874558798,10
"Omicron","BP1A10","1.15947069108111",0.12137522978717,10
"Omicron","BP1B1","-0.557266495031013",0.127276196641703,10
"Omicron","BP2A3","0.802460167931066",0.0834916901852002,10
"Omicron","BP2A6","-0.588430123737084",0.157599959886373,10
"Omicron","BP2H9","1.13859170400456",0.0781996611221144,10
"Omicron","DP4F2","1.14482027585466",0.116626891096039,10
"Omicron","KP1B5","0.799272759167959",0.147532045062016,10
"Omicron","KP1C9","1.13149305274803",0.0800310758578502,10
"Omicron","KP2C6","1.08592518207226",0.0974665574683251,10
"Omicron","EP2G4","-1.89798496257867",0.160097870542562,10
"Omicron","KP1G11","-1.62446960178644",0.0998815617565306,10
"Omicron","huACE2-Fc","0.133399450226564",0.148022596174291,10
"BA4_BA5","AP1C3","0.450958672062967",0.188393027404179,10
"BA4_BA5","AP1A5","0.929514580727393",0.0746645912977577,10
"BA4_BA5","AP1B6","0.528166272445101",0.0964978455112528,10
"BA4_BA5","AP1D4","1.21509075288148",0.0957704002941584,10
"BA4_BA5","BP1A10","1.56786698818048",NA,10
"BA4_BA5","BP1B1","1.3664274150272",0.217857691499599,10
"BA4_BA5","BP2A3","0.802149466721087",0.0460293542513448,10
"BA4_BA5","BP2A6","0.896558391660277",0.0608774899577407,10
"BA4_BA5","BP2H9","-1.15037884102626",0.184570604171976,10
"BA4_BA5","DP4F2","0.936402153564899",0.0591096629508553,10
"BA4_BA5","KP1B5","0.618565366079332",0.144845288254931,10
"BA4_BA5","KP1C9","0.77924377327377",0.0833641353923021,10
"BA4_BA5","KP2C6","-0.402181672959115",0.108450130653671,10
"BA4_BA5","EP2G4","-2.46668573194921",0.159419371662231,10
