"Variant","Antibody","Log_Kd","Log_Kd_SE","Max_Conc"
"BA4_BA5","KP1G11","-2.10319166093513",0.118963887690869,10
"BA4_BA5","huACE2-Fc","-0.17407266147118",0.135945344545558,10
"Wuhan","AP1B1","-0.928993451301782",0.0499129415451555,10
"Wuhan","AP1B5","-0.0580155201694301",0.158177659628096,10
"Wuhan","AP1C5","-1.43801411741522",1.02645226527455,10
"Wuhan","AP2A12","Constant",NA,10
"Wuhan","AP2D12","-3.04250551304322",0.458573146912187,10
"Wuhan","BP1C8","-0.287339774643045",0.0398992009815763,10
"Wuhan","BP2D3","1.19227398367028",0.286344150824748,10
"Wuhan","BP2G12","-0.0434259544157582",0.0197743192643109,10
"Wuhan","BP3A10","-2.41398012038703",0.166668472847761,10
"Wuhan","BP3B3","-1.84794493870599",0.187604745403137,10
"Wuhan","BP3C5","1.01009409596053",0.0383532872801387,10
"Wuhan","BP3D5","-2.01698526364061",0.113461011876885,10
"Wuhan","EP1F4","1.24905595958902",NA,10
"Wuhan","KP1D5","-2.05699502985228",0.179897594791989,10
"Wuhan","IgG","2.01358277698565",0.625685400091547,10
"Omicron","AP1B1","-0.860972119320918",0.0521896781480387,10
"Omicron","AP1B5","1.0506671476852",0.0926743530693411,10
"Omicron","AP1C5","1.28781400193434",0.0913260056272859,10
"Omicron","AP2A12","-3.33984878254995",0.406973345048595,10
"Omicron","AP2D12","-3.09916851786644",0.0335929251168951,10
"Omicron","BP1C8","-0.208222742677197",0.0213469332682397,10
"Omicron","BP2D3","1.23500520935262",0.0852011256518112,10
"Omicron","BP2G12","0.391037007358965",0.0453994365286481,10
"Omicron","BP3A10","-1.76238022464676",0.0895251874982699,10
"Omicron","BP3B3","0.806315243213006",0.116899044551658,10
"Omicron","BP3C5","1.00555491298879",0.0585476195788492,10
"Omicron","BP3D5","-0.974000555753425",0.0381560393202031,10
"Omicron","EP1F4","1.18591337770045",0.0602509494475437,10
"Omicron","KP1D5","-2.01262142854682",0.123889322001148,10
"Omicron","IgG","2.00675315231253",0.906074795540837,10
"BA4_BA5","AP1B1","-0.418459793152368",0.0369262982491231,10
"BA4_BA5","AP1B5","1.1817950403424",0.12975327902249,10
"BA4_BA5","AP1C5","1.08325964022122",0.152320314813488,10
"BA4_BA5","AP2A12","Constant",NA,10
"BA4_BA5","AP2D12","-3.33984878267079",NA,10
"BA4_BA5","BP1C8","-0.133246587117665",0.0143107016359694,10
"BA4_BA5","BP2D3","0.557437013259553",0.0657516612102868,10
"BA4_BA5","BP2G12","0.614050919940967",0.0729583722347072,10
"BA4_BA5","BP3A10","-2.01068863679951",0.15193490986615,10
"BA4_BA5","BP3B3","1.1832411442691",0.101525140196538,10
"BA4_BA5","BP3C5","1.09821957354591",0.0820712598675792,10
"BA4_BA5","BP3D5","-0.79554014963826",0.0382860476238205,10
"BA4_BA5","EP1F4","0.988148997327706",0.133033524148227,10
"BA4_BA5","KP1D5","-2.11775986246128",0.122390911699241,10
"BA4_BA5","IgG","1.21388109911073",0.330243116545815,10
