Variant,Antibody,Log_Kd,Log_Kd_SE,Max_Conc
Gamma,BP1G6,2.136475859,1.406469157,10
Delta,BP1G6,1.957124519,0.690036905,10
Omicron,BP1G6,2.027766961,0.580291868,10
Wuhan,BP2A3,-0.70426274,0.199814564,10
Beta,BP2A3,0.098809695,0.158564445,10
Gamma,BP2A3,-2.274763092,0.197272206,10
Mu,BP2A3,-1.228169522,0.119712636,10
Lambda,BP2A3,0.39030131,0.123805845,10
Delta,BP2A3,0.930210231,0.125680227,10
Omicron,BP2A3,1.368871135,0.317595035,10
Wuhan,BP2A6,-2.498963407,0.063168053,10
Beta,BP2A6,0.032553351,0.233602996,10
Gamma,BP2A6,-2.050238868,0.213252135,10
Mu,BP2A6,-1.260175933,0.118585981,10
Lambda,BP2A6,0.247338856,0.116841316,10
Delta,BP2A6,1.456893994,0.118925519,10
Omicron,BP2A6,-1.052878299,0.058963857,10
Wuhan,BP2D3,1.309536488,0.015466017,25
Beta,BP2D3,0.959697632,0.094150379,25
Lambda,BP2D3,1.423417948,0.004872401,25
Delta,BP2D3,1.228842145,0.131706501,25
Wuhan,BP2G12,0.206236823,0.155669074,25
Beta,BP2G12,1.01233548,0.311044906,25
Lambda,BP2G12,0.494700545,0.189711712,25
Delta,BP2G12,0.447423895,0.12700149,25
Wuhan,BP2H9,1.010717881,0.064692073,10
Beta,BP2H9,0.595807712,0.112046252,10
Gamma,BP2H9,-1.974038758,0.294113512,10
Mu,BP2H9,0.256307564,0.205567779,10
Lambda,BP2H9,1.198313756,0.116584424,10
Delta,BP2H9,1.218136314,0.064060696,10
Omicron,BP2H9,1.266566384,0.186654949,10
Wuhan,BP3A10,-1.883310204,0.202131213,25
Beta,BP3A10,-1.560446728,0.133103556,25
Lambda,BP3A10,-1.611095809,0.120832572,25
Delta,BP3A10,-1.775702681,0.219335183,25
Wuhan,BP3B3,-1.349516367,0.27466415,25
Beta,BP3B3,0.762181309,0.05635268,25
Lambda,BP3B3,1.492127077,0.254146893,25
Delta,BP3B3,1.470062805,NA,25
Wuhan,BP3C3,0.931314286,0.049143187,25
Beta,BP3C3,1.226687253,0.100767946,25
Lambda,BP3C3,0.385533871,0.052587602,25
Delta,BP3C3,0.766188722,0.112936587,25
Omicron,BP3C3,1.612012936,0.104196383,10
Wuhan,BP3C5,1.165130277,0.09991469,25
